image_path,bbox_indices
f88bb677-ec3b-43d8-bfdb-2b73b67e8a22_gdks_e5fab6e1-4073-493b-aecf-84ece573860c_jpeg_jpg.rf.e5f24d654e71347869c4f66c7bbd46f6,0
fa63009f-5a7e-480a-8b39-4bf1be712ec2_jpeg_jpg.rf.663d1e580d9fdc3308fa46a41e239eee_rotated,0
fd80683b-22ca-423f-a36c-eef8bac3fd56_jpeg_jpg.rf.411c95c4e4d0e8a4b6d8b093d086a6bc_rotated,0
hop-scooter-1024x683_jpeg.rf.54ab6cc4c4b5ed4c7fc22f7aa9796faf,2
kick15_jpg.rf.41b468e3daaa9a52117a0787f3bbe28f_rotated,0
kick1_jpg.rf.c6da4cf6f3bab2094d2ba3c0180679e2_rotated,0
kick24_jpg.rf.0ec5c460164113c534a3c4e215ab6ecf,0
lime-e-tretroller-electric-kick-scooter-2021-001-min_png.rf.a7c602d80676a8ac74ebf23ccbe2aa35,"0,1"
lime-e-tretroller-electric-kick-scooter-2021-001-min_png.rf.e74bcebaa12d78337eea9ccd5f0ee14e,1
lime-moped-revel-02_jpg.rf.391b8688de64ee1fc110bf854a3d1900,0
lime-scooter-3_jpg.rf.6dbc8b8389037913726018ecebae72db,1
maxresdefault5_jpg.rf.385a50fd557cd4b5dc35210913389509,0
maxresdefault_jpg.rf.df8adb91e2642d1173579768d5ced3ef,0
mosaic_1,2
mosaic_10,13
mosaic_122,6
mosaic_133,4
mosaic_143,1
mosaic_155,0
mosaic_157,0
mosaic_158,5
mosaic_165,"0,3"
mosaic_168,3
mosaic_176,2
mosaic_180,5
mosaic_186,4
mosaic_20,3
mosaic_203,0
mosaic_210,1
mosaic_219,5
mosaic_221,"2,5"
mosaic_224,8
mosaic_248,6
mosaic_249,"1,5,6,7,9,10"
mosaic_255,0
mosaic_262,5
mosaic_269,5
mosaic_274,9
mosaic_278,4
mosaic_286,3
mosaic_299,"0,1"
mosaic_30,4
mosaic_31,2
mosaic_319,2
mosaic_323,1
mosaic_342,3
mosaic_349,3
mosaic_353,4
mosaic_37,0
mosaic_370,5
mosaic_373,0
mosaic_382,0
mosaic_48,4
mosaic_52,1
mosaic_53,1
mosaic_64,1
mosaic_66,0
mosaic_67,"2,3"
mosaic_77,"4,6,7"
nz-electric-scooter-regulations_png.rf.4a1274840ea0f6c171b2214c0cfd84a4,0
odatv_image_87__513a1faef9db48_jpg.rf.323dde2b8421ab84a77dc20844830bfe,7
ptt-teknoloji-ile-binbin-arasinda-akilli-ulasim-sistemleri-alaninda-is-birligi-290957_png.rf.b76c382c2eec7f50ad2d3396f3a2e4a1,2
scooter-park-duathlon_1262a_jpg.rf.bbcd2f59624c0648c5ead40b9a06334e,1
scooter-park-uygulamasi-kadikoyden-basliyor-6-min_jpg.rf.4ec4c4214afdf2a573b45af1a063bd91,2
scooters-1-1024x586_jpg.rf.062df5f4009ff2813ca2d36736d88462,"0,1,3"
scooters_png.rf.405c144ba1a55e0f0d04c8991781babc,2
shutterstock-1154465734___22124145680_jpg.rf.5cb6e871ee78a8e354b71e607678aa61,2
shutterstock-1154465734___22124145680_jpg.rf.ef4249cfcd587d957e22e0703b20414c,2
sweden-bird-scooter-launches-big-battery-implications-1_jpeg.rf.004364ad43f74bb9ecb356ca4b1ed111,0
tazi16_png.rf.fabcb00f25ef5a2de6387901e6c46173,0
tazi19_png.rf.5591c2bf87042117681a7c1c30f9eb27,0
tazi19_png.rf.5591c2bf87042117681a7c1c30f9eb27_rotated,0
tazi_e_scooter_artik_nigde_de_h6428_aaa01_jpeg.rf.24670e46773126a8e3fab72837f96066,0
template-2_png.rf.6e1d036d2bf21cb2713e4ebcdf670910,1
u1933_jpg.rf.4e3e02edb3f7b7d6bd0bf81293291aa7,2
u285_jpg.rf.a76b745f96a6c9b9b5b5cc83f862405d,0
u291_jpg.rf.82e2f868853e6484e875268ba1bf0a51_rotated,0
uber-lime-scooters2-1_jpg.rf.bbd58e0972ca70a4d34a0d53f24431f5,1
uq-contact-e-scooters-micromobility-headline-2560x1440_jpg.rf.3a9a14d934e49079b51742180786699f,0
